Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
"D Wüest, N Seyff, M Glinz ",FlexiSketch: a lightweight sketching and metamodeling approach for end-users,2019,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10270-017-0623-8&casa_token=DTKkYBENTbMAAAAA:FzyvqTznDYgSSmLZZgvcyV-lEWSU6JrEfTGVSOcf0Bi5jvs5RvBM25miwzSQCEn1GS2jnhBw5PC7HC_Se2Q,,1. NO,3. YES,2. MAYBE,1. NO
"E Berki, K Siakas, E Georgiadou ",Agile Quality or Depth of Reasoning? Applicability vs. Suitability with respect to Stakeholders' needs,2007,https://www.igi-global.com/chapter/agile-quality-depth-reasoning-applicability/5067,,1. NO,1. NO,1. NO,1. NO
"P Laforcade, B Zendagui, V Barré ",A domain-specific-modeling approach to support scenarios-based instructional design,2008,https://link.springer.com/chapter/10.1007/978-3-540-87605-2_21,,1. NO,1. NO,1. NO,1. NO
"A Taivalsaari, S Vaaraniemi ","TDE: Supporting geographically distributed software design with shared, collaborative workspaces",1997,https://link.springer.com/chapter/10.1007/3-540-63107-0_28,,1. NO,1. NO,1. NO,1. NO
M Leppänen ,Conceptual evaluation of methods for engineering situational ISD methods,2006,https://onlinelibrary.wiley.com/doi/abs/10.1002/spip.292?casa_token=T9_QOp4nYBAAAAAA:XDcSoyqrO7cm_kj6JYSN02DiflbeoJBgZiRR1tGJ6aV8PxErfaxleFCeHDoqVXXS1ztz7OQJOYqjULN8Bw,,1. NO,1. NO,1. NO,1. NO
"R Ruggia, AP Ambrosio ",A toolkit for reuse in conceptual modelling,1997,https://link.springer.com/chapter/10.1007/3-540-63107-0_13,,1. NO,1. NO,1. NO,1. NO
"I Tervonen, P Kerola… ",An Organizational Memory for Quality-based Software Design and Inspection: a collaborative multiview approach with hyperlinking capabilities,1997,https://ieeexplore.ieee.org/abstract/document/665508/?casa_token=m0ZH4GAYUlwAAAAA:wGunkcZa9bDrlCJFk9Ixk4TfNAtuJSusXcPAOpUtFMNlBcBpJwNGGcSbxnZ2xoyloGm59Ox_sMtJ,,1. NO,1. NO,1. NO,1. NO
"N Yap, HC Chiong, J Grundy… ",Supporting dynamic software tool integration via web service-based components,2005,https://ieeexplore.ieee.org/abstract/document/1402011/?casa_token=tQGA90kc_lkAAAAA:iydva6V--NexzQryKl9QlRVYVa3Ev0zY1lHNwVzg3pJOHik7Jn_PPAzkg64FZgb7gAUUDppyjPcB,,1. NO,1. NO,1. NO,1. NO
"D Wüest, M Glinz ",Flexible sketch-based requirements modeling,2011,https://link.springer.com/chapter/10.1007/978-3-642-19858-8_12,,1. NO,3. YES,2. MAYBE,1. NO
"A Giret, V Botti ",Towards a recursive agent oriented methodology for large-scale MAS,2003,https://link.springer.com/chapter/10.1007/978-3-540-24620-6_2,,1. NO,1. NO,1. NO,1. NO
"B Lesueur, Z Guessoum, G Sunyé, G Blain, JF Perrot ",La métaphore du dossier.,1999,https://www.academia.edu/download/33563715/inforsid99.pdf,,1. NO,1. NO,1. NO,1. NO
"P Laforcade, V Barré… ",Scénarisation Pédagogique et Ingénierie Dirigé par les Modèles Cadre d'étude pour la définition de langages et environnements-outils de scénarisation pédagogique …,2007,https://hal.archives-ouvertes.fr/hal-01434113/,,1. NO,1. NO,1. NO,1. NO
"P Noriega, D De Jonge ",Electronic institutions: the EI/EIDE framework,2016,https://link.springer.com/chapter/10.1007/978-3-319-33570-4_4,,1. NO,1. NO,1. NO,1. NO
S Kelly ,CASE tool support for co-operative work in information systems design,1998,https://link.springer.com/chapter/10.1007/978-0-387-35347-0_3,,1. NO,1. NO,1. NO,1. NO
"E Domınguez, AL Rubio, MA Zapata ",Meta–modelling of dynamic aspects: The noesis approach,2000,https://www.researchgate.net/profile/Maria_Zapata5/publication/2900693_Meta--modelling_of_Dynamic_Aspects_The_Noesis_Approach/links/0deec517e527c0b4cd000000.pdf,,1. NO,1. NO,1. NO,1. NO
"M Cervera, M Albert, V Torres, V Pelechano ",Turning method engineering support into reality,2011,https://link.springer.com/chapter/10.1007/978-3-642-19997-4_14,,1. NO,1. NO,1. NO,1. NO
"T Kos, M Mernik, T Kosar ",Test automation of a measurement system using a domain-specific modelling language,2016,https://www.sciencedirect.com/science/article/pii/S0164121215002058,,1. NO,1. NO,1. NO,1. NO
"M Koskinen, P Marttiin ",Process support in MetaCASE: implementing the conceptual basis for enactable process models in MetaEdit+,1997,https://ieeexplore.ieee.org/abstract/document/591823/?casa_token=UqUSg9N3WT4AAAAA:hroDPnePe62AhsHNZDmpMyLEvpCEBOxAr7WFoQS7rnCWcw8nIqg7a9Hplm8u9GAg0RtvDo8M7xE_,,1. NO,1. NO,1. NO,1. NO
"JM Gascueña, A Fernández-Caballero ",Towards an Integrative Methodology for Developing Multi-Agent Systems.,2009,https://pdfs.semanticscholar.org/cc4a/7593998f7686077c2c1aa832bb8c8c4b5b71.pdf,,1. NO,1. NO,1. NO,1. NO
Z Zhang,Model component reuse: conceptual foundations and application in the metamodeling-based systems analysis and design environment,2004,https://jyx.jyu.fi/handle/123456789/13243,,1. NO,1. NO,1. NO,1. NO
P Marttiin,Customisable process modelling support and tools for design environment.,2000,https://elibrary.ru/item.asp?id=6887263,,1. NO,1. NO,1. NO,1. NO
"JA Serrano, R Welland ",VCt—a formal language for the specification of diagrammatic modelling techniques,1998,https://www.sciencedirect.com/science/article/pii/S0950584998000810,,1. NO,1. NO,1. NO,1. NO
"D Gupta, R Dwivedi ",Method configuration from situational method engineering,2012,https://dl.acm.org/doi/abs/10.1145/2180921.2180934?casa_token=Dy6eH7unM2sAAAAA:tPCKwmYnZd7XNcyS3L_p6NOBgt7Oq9d0MhJXZqbz_id0R_YOBYYb4srvFGu6ScuqtravwTqaVVAzfRo,,1. NO,1. NO,1. NO,1. NO
"F Gervais, M Frappier, R Laleau ",Generating Relational Database Transactions From Recursive Functions Defined on EB^ 3 Traces,2005,https://ieeexplore.ieee.org/abstract/document/1575900/?casa_token=Vfm7q-p1Z4wAAAAA:hhfNt5UJqdHeR8EudmUlrhSeY1apiNj2ZjrIz6zosHKmhzRJKO4V6buAifWbQVYkiQFvU_GQJWcc,,1. NO,1. NO,1. NO,1. NO
"L Andersen, S Chang, M Felleisen ",Super 8 languages for making movies (functional pearl),2017,https://dl.acm.org/doi/abs/10.1145/3110274,,1. NO,1. NO,1. NO,1. NO
"A Kuzenkova, A Deripaska, T Bryksin… ",QReal DSM platform-An Environment for Creation of Specific Visual IDEs,2013,https://www.scitepress.org/Documents/2013/45050/,,1. NO,1. NO,1. NO,1. NO
"MR Bahri, A Hettab, A Chaoui… ",Transforming mobile UML statecharts models to nested nets models using graph grammars: an approach for modeling and analysis of mobile agent-based software …,2009,https://ieeexplore.ieee.org/abstract/document/5465138/?casa_token=iOMlWInDn7wAAAAA:zh3g4Cw5IznYwK7QXE15hc7f40QAkaghq8wCdP_323dVawWNOaNSoXVFtlXYuJHqW2sWIZ1b8RLh,,1. NO,1. NO,1. NO,1. NO
"T Kosar, M Mernik, J Gray, T Kos ",Debugging measurement systems using a domain-specific modeling language,2014,https://www.sciencedirect.com/science/article/pii/S0166361514000293,,1. NO,1. NO,1. NO,1. NO
J Krogstie ,Quality of models,2012,https://link.springer.com/chapter/10.1007/978-1-4471-2936-3_4,,1. NO,1. NO,1. NO,1. NO
"M Jarke, MA Jeusfeld, HW Nissen, C Quix ",Heterogeneity in model management: A meta modeling approach,2009,https://link.springer.com/chapter/10.1007/978-3-642-02463-4_13,,1. NO,1. NO,1. NO,1. NO
"V Englebert, JL Hainaut ",GRASYLA: modelling case tool GUIs in MetaCases,1999,https://link.springer.com/chapter/10.1007/978-94-011-4295-3_18,,1. NO,1. NO,1. NO,1. NO
"J Pavón, J Gómez-Sanz… ",The SiCoSSyS approach to SoS engineering,2011,https://ieeexplore.ieee.org/abstract/document/5966594/?casa_token=1Rpu-agXub8AAAAA:O_DrBNUsuC5DBAFsQA8l6n41hN2wG6lqKWrVw5NXM-BqoouAwP-6kI_ovpg_GiWFOaq8iIpXshuR,,1. NO,3. YES,2. MAYBE,1. NO
"N Liu, J Hosking, J Grundy ",A visual language and environment for specifying design tool event handling,2005,https://ieeexplore.ieee.org/abstract/document/1509515/?casa_token=ut-w08p_HPgAAAAA:TkAkuwxwR0kAcTQdQQhkDK3RjmKIcu0eLFGx_8YUsBGjY4MzetDI5X4ZIrtXKY16kLehhLsdGdyh,,1. NO,1. NO,1. NO,1. NO
"P Marttiin, M Koskinen ",Similarities and differences of method engineering and process engineering approaches,1998,https://www.researchgate.net/profile/Minna_Koskinen/publication/2464576_Similarities_And_Differences_Of_Method_Engineering_And_Process_Engineering_Approaches/links/546c8f290cf21e510f6393e5/Similarities-And-Differences-Of-Method-Engineering-And-Process-Engineering-Approaches.pdf,,1. NO,1. NO,1. NO,1. NO
R Matulevičius ,How requirements specification quality depends on tools: A case study,2004,https://link.springer.com/chapter/10.1007/978-3-540-25975-6_26,,1. NO,1. NO,1. NO,1. NO
"C Rolland, C Souveyet, MB Ayed ",Guiding Lyee user requirements capture,2003,https://www.sciencedirect.com/science/article/pii/S0950705103000522,,1. NO,1. NO,1. NO,1. NO
AL Opdahl ,A platform for interoperable domain-specific enterprise modelling based on ISO 15926,2010,https://ieeexplore.ieee.org/abstract/document/5629077/?casa_token=uBIgNL9xPw8AAAAA:c7ehQxvJPwEEmTBJ-Nurq7chgljGDlNEkmzrZHYyIBXT4OmWnWpKw10xRhBLDeU1s--9cCEdK4xM,,1. NO,1. NO,1. NO,1. NO
"M Rossi, T Tuunanen ",A method and tool for wide audience requirements elicitation and rapid prototyping for mobile systems,2004,https://link.springer.com/chapter/10.1007/978-3-540-30466-1_58,,1. NO,1. NO,1. NO,1. NO
A Taivalsaari ,Multidimensional browsing,1997,https://ieeexplore.ieee.org/abstract/document/591812/?casa_token=qrgfBtTO7Z8AAAAA:luSzxmsIaM1vafMpV5DYPMzoVro4ixold0xLJlpfh0n7wYQnLxXuZi36qLwv56_rfg3PwUZ-HNYm,,1. NO,1. NO,1. NO,1. NO
"C Wende, U Assmann, S Zivkovic… ",Feature-based customisation of tool environments for model-driven software development,2011,https://ieeexplore.ieee.org/abstract/document/6030045/?casa_token=0r2J3zub-WAAAAAA:SyYapPJHemkPQPiym1rjKDixuFQDFd_1j4lLfqhmXG0n9InD1FVOnWT8pjMKKxAhdDpbPuBZCZz7,,1. NO,1. NO,1. NO,1. NO
"S Jablonski, B Volz, S Dornstauder ",On the Implementation of Tools for Domain Specific Process Modelling.,2009,https://www.researchgate.net/profile/Mariela_Cortes/publication/220946668_Reuse_and_Adaptation_of_Software_Process_using_Similarity_Measurement/links/0deec52121e6994f0b000000/Reuse-and-Adaptation-of-Software-Process-using-Similarity-Measurement.pdf#page=122,,1. NO,1. NO,1. NO,1. NO
EA Ouraiba,Scénarisation pédagogique pour des EIAH ouverts: Une approche dirigée par les modèles et spécifique au domaine métier,2012,https://tel.archives-ouvertes.fr/tel-01128256/,,1. NO,1. NO,1. NO,1. NO
"MA Jeusfeld, MP Papazoglou ",Information brokering,1999,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.49.3502&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
M Leppanen ,Conceptual analysis of current ME artifacts in terms of coverage: a contextual approach,2005,https://www.researchgate.net/profile/Mauri_Leppaenen2/publication/238102086_Conceptual_Analysis_of_Current_ME_Artifacts_in_Terms_of_Coverage_A_Contextual_Approach/links/53f1f74d0cf2bc0c40e6f302/Conceptual-Analysis-of-Current-ME-Artifacts-in-Terms-of-Coverage-A-Contextual-Approach.pdf,,1. NO,1. NO,1. NO,1. NO
"J Souer, T Kupers ",Towards a pragmatic model driven engineering approach for the development of CMS-based web applications,2009,https://www.researchgate.net/profile/Jurriaan_Souer/publication/251582252_Towards_a_Pragmatic_Model_Driven_Engineering_Approach_for_the_Development_of_CMS-based_Web_Applications/links/55112d640cf2ba844840ed4b.pdf,,1. NO,1. NO,1. NO,1. NO
AL Opdahl ,Incorporating uml class and activity constructs into ueml,2010,https://link.springer.com/chapter/10.1007/978-3-642-16385-2_31,,1. NO,1. NO,1. NO,1. NO
T Walter ,Combining domain-specific languages and ontology technologies,2009,http://www.cs.colostate.edu/models09/procDocSympModels09.pdf#page=35,,1. NO,1. NO,1. NO,1. NO
"A Furtado, A Santos ",Extending visual studio .NET as a software factory for computer games development in the .NET platform,2007,http://www.cin.ufpe.br/~awbf/files/IVNET2006_SharpLudus.pdf,,1. NO,1. NO,1. NO,1. NO
"A Harkai, M Cinpoeru, RA Buchmann ",The “What” Facet of the Zachman Framework–A Linked Data-Driven Interpretation,2018,https://link.springer.com/chapter/10.1007/978-3-319-92898-2_17,,1. NO,1. NO,1. NO,1. NO
S Kelly ,Improving the integration of a domain-specific modelling tool,2003,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.713.6666&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
T Thanitsukkarn,Multiperspective Development Environment for Configurable Distributed Applications,1999,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.63.7040&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
Z Zhang ,Defining components in a metaCASE environment,2000,https://link.springer.com/chapter/10.1007/3-540-45140-4_23,,1. NO,1. NO,1. NO,1. NO
"M Koskinen, P Marttiin ",Developing a customizable process modelling environment: Lessons learnt and future prospects,1998,https://link.springer.com/chapter/10.1007/3-540-64956-5_2,,1. NO,1. NO,1. NO,1. NO
"R ElMansouri, A Chaoui, E Kerkouche… ",From uml statecharts and collaboration diagrams to coloured petri nets models: A graph transformation based approach for modelling and analysis of business …,2009,https://ieeexplore.ieee.org/abstract/document/5465144/?casa_token=CoKVvGkk8jkAAAAA:Em19SAu79E5a-3xgcGJTv1hQ8AByuRZ7nLeC-w_bRewbHUo1CVSEMLTwCl8B2lx9vRidjGv5Rbtp,,1. NO,1. NO,1. NO,1. NO
A Bajaj ,SMMM: A metric based framework to evaluate the scalability of multiple model methodologies,2000,https://www.researchgate.net/profile/Akhilesh_Bajaj/publication/228581997_SMMM_a_metric_based_framework_to_evaluate_the_scalability_of_multiple_model_methodologies/links/5412fb990cf2fa878ad3cd33.pdf,,1. NO,1. NO,1. NO,1. NO
"E Navarro, P Sanchez, P Letelier… ",A goal-oriented approach for safety requirements specification,2006,https://ieeexplore.ieee.org/abstract/document/1607381/?casa_token=Dqa_eqqex4IAAAAA:5wM-ABAHOXQKBvF2aVqrmZlb9jfRMK_jpvk6ojS1TwGwVz_d-vKQMs6D5pv3Wh19O3Dm6sEaYlza,,1. NO,1. NO,1. NO,1. NO
"A Giret, V Botti ",On the definition of meta-models for analysis of large-scale MAS,2004,https://link.springer.com/chapter/10.1007/978-3-540-30082-3_20,,1. NO,1. NO,1. NO,1. NO
V Englebert ,A Smart Meta-CASE: towards an integrated solution,2000,http://www.info.fundp.ac.be/~dbm/Documents/Theses/Vincent-Englebert-Thesis.pdf,,1. NO,1. NO,1. NO,1. NO
"S Jablonski, B Volz, S Dornstauder ",Evolution of business process models and languages,2009,https://dl.gi.de/handle/20.500.12116/23243,,1. NO,1. NO,1. NO,1. NO
"ДВ Кознов, АН Иванов ",Поддержка концептуального моделирования при разработке визуальных языков с использованием Microsoft DSL TOOLS,2009,http://sysprog.info/2009/sysprog-2009.pdf#page=105,,1. NO,1. NO,1. NO,1. NO
M Monecke ,Komponentenbasierte Konstruktion flexibler Software-Entwicklungswerkzeuge,2000,https://link.springer.com/chapter/10.1007/978-3-642-58322-3_10,,1. NO,1. NO,1. NO,1. NO
M Monecke,Adaptierbare CASE-Werkzeuge in prozeßorientierten Software-Entwicklungsumgebungen,2003,https://dspace.ub.uni-siegen.de/handle/ubsi/30,,1. NO,1. NO,1. NO,1. NO
"H Oinas-Kukkonen, G Rossi ",On two approaches to software repositories and hypertext functionality,1999,https://journals.tdl.org/jodi/index.php/jodi/article/view/14,,1. NO,1. NO,1. NO,1. NO
"J Grundy, J Hosking, S Cao, D Zhao… ",Experiences developing architectures for realizing thin‐client diagram editing tools,2007,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.803?casa_token=8S2WVMOErMAAAAAA:72UAt-wsMN7SoWiMcM9blQTQoO9EAu3ppvoGQKvPTUsnj3_oXyeaunG9YsRImsOFD7ssuyfaAWBb1yPUGw,,1. NO,1. NO,1. NO,1. NO
J Souer,Development of Content Management System-based Web Applications,2012,https://dspace.library.uu.nl/handle/1874/225153,,1. NO,1. NO,1. NO,1. NO
JA Serrano ,Formal specifications of software design methods,1999,https://www.scienceopen.com/hosted-document?doi=10.14236/ewic/IWFM1999.16,,1. NO,1. NO,1. NO,1. NO
N Arni-Bloch ,Towards a CAME tools for situational method engineering,2005,https://interop-esa05.unige.ch/INTEROP/Proceedings/Doctoral/PerPaper/III-1-ArniBloch.pdf,,1. NO,1. NO,1. NO,1. NO
"R Pitkänen, T Mikkonen ",Lightweight domain-specific modeling and model-driven development,2006,https://www.academia.edu/download/30836059/OOPSLA-DSM-06-Proceedings.pdf#page=166,,1. NO,1. NO,1. NO,1. NO
"M Lybecait, D Kopetzki, P Zweihoff, A Fuhge… ",A tutorial introduction to graphical modeling and metamodeling with CINCO,2018,https://link.springer.com/chapter/10.1007/978-3-030-03418-4_31,,1. NO,1. NO,1. NO,1. NO
"C Lawrence, T Tuunanen, MD Myers ",Extending design science research methodology for a multicultural world,2010,https://link.springer.com/chapter/10.1007/978-3-642-12113-5_7,,1. NO,1. NO,1. NO,1. NO
"L Floreby, L Sornmo, K Sjogreen ",Boundary finding using Fourier surfaces of increasing order [simulated medical images],1998,https://ieeexplore.ieee.org/abstract/document/711181/?casa_token=FfMxznfsqVEAAAAA:t5VR4oaAgXHbXlSwBOri-YoVZGZ8EocFXw2SBbJZwooOo-pJpi3SJqM8NfWNWHHxJOqoS0dvyZfh,,1. NO,1. NO,1. NO,1. NO
VA Bollati,MeTAGeM: Entorno de Desarrollo de Transformaciones de Modelos Dirigido por Modelos,2010,https://burjcdigital.urjc.es/handle/10115/5633,,1. NO,1. NO,1. NO,1. NO
"S Esparcia, R Centeno, R Hermoso… ",Artifacting and regulating the environment of a virtual organization,2011,https://ieeexplore.ieee.org/abstract/document/6103378/?casa_token=Y7agCFlYZLAAAAAA:oSupTv1rauW1SYXyOVwT_d5ywAcMahmhX0Zp2WBaAYYU7hXi_8VxDiBMu4ueebIOjkPVQ_3faEdR,,1. NO,1. NO,1. NO,1. NO
JJ Gomez-Sanz ,Ten years of the ingenias methodology,2014,https://link.springer.com/chapter/10.1007/978-3-642-54432-3_10,,1. NO,1. NO,1. NO,1. NO
"P Patwari, SR Chaudhuri, A Banerjee… ",A complementary domain specific design environment aiding SysML,2016,https://ieeexplore.ieee.org/abstract/document/7753164/?casa_token=865h08hHy3EAAAAA:mwD-UQy_frLTzByF2TcwxXlzWZaLCRGIFLudNrX8VGcT0BgYPxHf4OYeZj6Yg_Lp7mC5dg7lzoZV,,1. NO,1. NO,1. NO,1. NO
"T Kühn, KI Kassin, W Cazzola, U Aßmann ",Modular feature-oriented graphical editor product lines,2018,https://dl.acm.org/doi/abs/10.1145/3233027.3233034?casa_token=IcJIMCz7I6kAAAAA:r0UxbYHtJAdDd_5v1pNIuBtDnYO6HOSN2P4YiUtBBK3pwxOD67ml8PqP4eiohiWynAF2dnUWrK85_IU,,1. NO,1. NO,1. NO,1. NO
"A Michailidis, R Rada ",Organizational roles and communication modes in team work,2001,https://ieeexplore.ieee.org/abstract/document/927183/?casa_token=p--K6QWDt7MAAAAA:Gkifgbqzkexjq3hkn2CpyV49kc9vyvpHULk0Aqt6Cvo5p6RrLwmPan5BlCo3mlRI2LQy9H1XPaDi,,1. NO,1. NO,1. NO,1. NO
"H Wang, G Wang, J Lu, C Ma ",Ontology supporting Model-based Systems Engineering based on a GOPPRR approach,2019,https://link.springer.com/chapter/10.1007/978-3-030-16181-1_40,,1. NO,2. MAYBE,1. NO,1. NO
"S Kelly, JP Tolvanen ",Collaborative creation and versioning of modeling languages with MetaEdit+,2018,https://dl.acm.org/doi/abs/10.1145/3270112.3270132?casa_token=fZBKFNuuyJkAAAAA:EpgDa_nrMxNONrTbRYzGo3sOQiCWUDoTLZhlbuosPJ0JVR3yLseSM2Uk1uOVlaR9_2hpXGjAhbdW4Tw,,1. NO,1. NO,1. NO,1. NO
"D Roland, JL Hainaut, JM Hick, J Henrard, V Englebert",Database engineering processes with DB-MAIN,2000,https://aisel.aisnet.org/ecis2000/68/,,1. NO,1. NO,1. NO,1. NO
"K Lyytinen, P Martiin, JP TOLVANEN… ",CASE environment adaptability: Bridging the islands of automation,1998,ftp://ftp8.de.freebsd.org/pub/CREWS/CREWS-98-11.pdf,,1. NO,1. NO,1. NO,1. NO
N Baetens ,"Comparing graphical DSL editors: AToM3, GMF, MetaEdit",2011,http://msdl.cs.mcgill.ca/people/hv/teaching/MSBDesign/201011/projects/Nick.Baetens/report/report.pdf,,1. NO,1. NO,1. NO,1. NO
"N Zhu, JC Grundy, JG Hosking ",Constructing domain-specific design tools with a visual language meta-tool.,2005,http://ceur-ws.org/Vol-161/FORUM_23.pdf,,1. NO,1. NO,1. NO,1. NO
"S Cao, J Grundy, J Hosking, H Stoeckle… ","Architecture for generating Web-based, thin-client diagramming tools",2004,https://ieeexplore.ieee.org/abstract/document/1342744/?casa_token=CkUwEvC02JUAAAAA:VG7UWdky3Zrb0OuPMRx1cebNEXaiA1rFwYxp0AWy7oD70KN2Dr6wOBcipClVVqHC49iFix9Qntl7,,1. NO,1. NO,1. NO,1. NO
"S Kelly, M Rossi ",Evaluating Method Engineer Performance: an error classification and preliminary empirical study,1998,http://journal.acs.org.au/index.php/ajis/article/view/316,,1. NO,1. NO,1. NO,1. NO
KL Weidenhaupt,Anpassbarkeit von Software-Werkzeugen in prozessintegrierten Entwicklungsumgebungen,2001,https://core.ac.uk/download/pdf/36426785.pdf,,1. NO,1. NO,1. NO,1. NO
J Ralyté ,Vue stratégique sur l'ingénierie des méthodes.,2001,https://www.researchgate.net/profile/Jolita_Ralyte/publication/220764363_Vue_strategique_sur_l'ingenierie_des_methodes/links/09e4150bfd380ea25c000000/Vue-strategique-sur-lingenierie-des-methodes.pdf,,1. NO,1. NO,1. NO,1. NO
"D Rieu, F Bounaas, P Morat… ",La Méta-circularité au service de la méta-modélisation,1997,https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=2279779,,1. NO,1. NO,1. NO,1. NO
V Emin-Martinez,"Modélisation dirigée par les intentions pour la conception, le partage et la réutilisation de scénarios pédagogiques",2010,https://tel.archives-ouvertes.fr/tel-00545553/,,1. NO,1. NO,1. NO,1. NO
ANW Dahanayake ,Evaluation of the strength of computer aided method engineering for product development process modeling,1998,https://link.springer.com/chapter/10.1007/BFb0054499,,1. NO,1. NO,1. NO,1. NO
D Schmitz,Managing Dynamic Requirements Knowledge,2010,https://core.ac.uk/download/pdf/36586998.pdf,,1. NO,1. NO,1. NO,1. NO
"J Lu, J Wang, D Chen, J Wang, M Törngren ",A service-oriented tool-chain for model-based systems engineering of aero-engines,2018,https://ieeexplore.ieee.org/abstract/document/8453796/,,1. NO,1. NO,1. NO,1. NO
"T Tuunanen, M Rossi ",Market driven requirements elicitation via critical success chains,2003,https://ieeexplore.ieee.org/abstract/document/1232789/?casa_token=miudkHNIjoIAAAAA:SeKki4A5jHf0F_gemmzmRpAASBWzEBM6fhcEvKUCxu7bOjGGQiXwq51FWVNg5SLFdCeyj63QNRCy,,1. NO,1. NO,1. NO,1. NO
AL Opdahl ,Semantic annotations for modelling language interoperability,2011,https://dl.acm.org/doi/abs/10.1145/1988688.1988733?casa_token=wid3adjmQMUAAAAA:6xf7klvI91soU6YYSxEr_BYyaIr6GyXF-eB58tGIifkhJSQ4sUpzMa2G6IR3KYrtHZe3d5Ae8S1qq1A,,1. NO,1. NO,1. NO,1. NO
"MA Jeusfeld, P Backlund, J Ralyté ",Classifying interoperability problems for a method chunk repository,2007,https://link.springer.com/chapter/10.1007/978-1-84628-858-6_35,,1. NO,1. NO,1. NO,1. NO
G Belinson ,Report layout reference processing,2010,https://patents.google.com/patent/US7698629B2/en,,1. NO,1. NO,1. NO,1. NO
J Iivari,Two strategies for design science research,2012,https://www.researchgate.net/profile/Juhani_Iivari/publication/243459048_TWO_STRATEGIES_FOR_DESIGN_SCIENCE_RESEARCH/links/02e7e51d12d60209a2000000.pdf,,1. NO,1. NO,1. NO,1. NO
"J Lu, M Törngren, DJ Chen, J Wang ",A tool integration language to formalize co-simulation tool-chains for cyber-physical system (CPS),2017,https://link.springer.com/chapter/10.1007/978-3-319-74781-1_27,,1. NO,1. NO,1. NO,1. NO
S Kelly ,Collaborative modelling with version control,2017,https://link.springer.com/chapter/10.1007/978-3-319-74730-9_3,,1. NO,1. NO,1. NO,1. NO
"FJB Ruiz, ÓS Ramón, JG Molina ",A tool to support the definition and enactment of model-driven migration processes,2017,https://www.sciencedirect.com/science/article/pii/S0164121217300584,,1. NO,1. NO,1. NO,1. NO
PHN Gabriel,Software languages engineering: experimental evaluation,2010,https://run.unl.pt/handle/10362/4854,,1. NO,1. NO,1. NO,1. NO
"SD Mallouli, S Assar… ",Pour une perspective comportementale dans les méta-modèles de processus,2011,https://hal.archives-ouvertes.fr/hal-01513040/,,1. NO,1. NO,1. NO,1. NO
"R Dwivedi, D Gupta ",A Complete Method Configuration Process for Configuring Project-Specific Methods.,2015,http://www.jsoftware.us/vol10/48-jsw140816-1333.pdf,,1. NO,1. NO,1. NO,1. NO
"JJ Gómez-Sanz, J Pavón ",Agent Oriented Software Engineering with MESSAGE.,2002,http://ftp.informatik.rwth-aachen.de/Publications/CEUR-WS/Vol-57/pp-gomez.pdf,,1. NO,1. NO,1. NO,1. NO
"V Dimitrieski, M Čeliković, V Ivančević… ",A comparison of ecore and GOPPRR through an information system meta modeling approach,2012,https://www.researchgate.net/profile/Vladimir_Dimitrieski/publication/235336262_A_Comparison_of_Ecore_and_GOPPRR_through_an_Information_System_Meta_Modeling_Approach/links/09e41510ffc51bcef0000000/A-Comparison-of-Ecore-and-GOPPRR-through-an-Information-System-Meta-Modeling-Approach.pdf,,1. NO,1. NO,1. NO,1. NO
C Datta,Programming behaviour of personal service robots with application to healthcare,2014,https://researchspace.auckland.ac.nz/handle/2292/22342,,1. NO,1. NO,1. NO,1. NO
J Grundy ,"Distributed component engineering using a decentralised, internet-based environment",2000,http://www.cs.auckland.ac.nz/~john-g/papers/seoi00.pdf,,1. NO,1. NO,1. NO,1. NO
"V Sousa, E Syriani ",An Expeditious Approach to Modeling IDE Interaction Design.,2015,http://ceur-ws.org/Vol-1511/paper-MPM04.pdf,,1. NO,1. NO,1. NO,1. NO
"J Lu, DJ Chen, J Wang… ",Towards a service-oriented framework for MBSE tool-chain development,2018,https://ieeexplore.ieee.org/abstract/document/8428746/?casa_token=ucaLxAD-gTMAAAAA:Oe8AsnMKdpSLuFzXuEc_kYyj1NCCuh7ANbryKgm0J9Sh3moM0K5AbFI8nDcM4E6bzTA9IdSm0tfc,,1. NO,1. NO,1. NO,1. NO
"C Amelunxen, A Königs, T Rötschke, A Schürr ",Adapting FUJABA for Building a Meta Modelling Framework,2003,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.68.3554&rep=rep1&type=pdf#page=37,,1. NO,1. NO,1. NO,1. NO
"J Lu, G Wang, M Törngren ",Design ontology in a case study for cosimulation in a model-based systems engineering tool-chain,2019,https://ieeexplore.ieee.org/abstract/document/8734748/,,1. NO,1. NO,1. NO,1. NO
